baseline_precision,baseline_false_detection_rate,baseline_recall,baseline_specificity,baseline_accuracy,baseline_f1,nlp_precision,nlp_false_detection_rate,nlp_recall,nlp_specificity,nlp_accuracy,nlp_f1,detection_improvement_rate
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.43478260869565216,56.52173913043478,1.0,0.8488372093023255,0.10416666666666667,0.6060606060606061,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.5,50.0,1.0,0.8837209302325582,0.10416666666666667,0.6666666666666666,0.0
0.0,100.0,0.0,0.9941176470588236,0.11458333333333333,0,0.5,50.0,1.0,0.8705882352941177,0.11458333333333333,0.6666666666666666,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4166666666666667,58.333333333333336,1.0,0.8372093023255814,0.10416666666666667,0.5882352941176471,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.40816326530612246,59.183673469387756,1.0,0.8313953488372093,0.10416666666666667,0.5797101449275363,0.0
0.0,100.0,0.0,0.9884393063583815,0.09895833333333333,0,0.4222222222222222,57.77777777777777,1.0,0.8497109826589595,0.09895833333333333,0.59375,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4444444444444444,55.55555555555556,1.0,0.8546511627906976,0.10416666666666667,0.6153846153846153,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4444444444444444,55.55555555555556,1.0,0.8546511627906976,0.10416666666666667,0.6153846153846153,0.0
0,0,0.0,1.0,0.10416666666666667,0,0.43478260869565216,56.52173913043478,1.0,0.8488372093023255,0.10416666666666667,0.6060606060606061,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.41304347826086957,58.69565217391305,0.95,0.8430232558139535,0.10416666666666667,0.5757575757575758,0.0

1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.43478260869565216,56.52173913043478,1.0,0.8488372093023255,0.10416666666666667,0.6060606060606061,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.5,50.0,1.0,0.8837209302325582,0.10416666666666667,0.6666666666666666,0.0
0.0,100.0,0.0,0.9941176470588236,0.11458333333333333,0,0.5,50.0,1.0,0.8705882352941177,0.11458333333333333,0.6666666666666666,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4166666666666667,58.333333333333336,1.0,0.8372093023255814,0.10416666666666667,0.5882352941176471,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.40816326530612246,59.183673469387756,1.0,0.8313953488372093,0.10416666666666667,0.5797101449275363,0.0
0.0,100.0,0.0,0.9884393063583815,0.09895833333333333,0,0.4222222222222222,57.77777777777777,1.0,0.8497109826589595,0.09895833333333333,0.59375,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4444444444444444,55.55555555555556,1.0,0.8546511627906976,0.10416666666666667,0.6153846153846153,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.4444444444444444,55.55555555555556,1.0,0.8546511627906976,0.10416666666666667,0.6153846153846153,0.0
0,0,0.0,1.0,0.10416666666666667,0,0.43478260869565216,56.52173913043478,1.0,0.8488372093023255,0.10416666666666667,0.6060606060606061,0.0
1.0,0.0,0.05,1.0,0.10416666666666667,0.09523809523809523,0.41304347826086957,58.69565217391305,0.95,0.8430232558139535,0.10416666666666667,0.5757575757575758,0.0
